Year,Forest area certified under an independently verified certification scheme (thousands of hectares)
2000.0,55.14
2005.0,73.3
2010.0,4425.41
2015.0,5229.6
2016.0,4583.57
2017.0,4736.86
2018.0,5011.18
2019.0,3966.82
2020.0,5197.2
2021.0,5384.35
2022.0,5669.32
2023.0,6196.01
