Year,Red List Index
1993.0,0.84234
1994.0,0.84167
1995.0,0.8407
1996.0,0.83913
1997.0,0.83667
1998.0,0.83346
1999.0,0.83069
2000.0,0.82744
2001.0,0.82448
2002.0,0.82149
2003.0,0.81849
2004.0,0.81594
2005.0,0.81334
2006.0,0.81015
2007.0,0.80729
2008.0,0.805
2009.0,0.80281
2010.0,0.79994
2011.0,0.79743
2012.0,0.79385
2013.0,0.79123
2014.0,0.7886
2015.0,0.78575
2016.0,0.78203
2017.0,0.77951
2018.0,0.77658
2019.0,0.7737
2020.0,0.77138
2021.0,0.76866
2022.0,0.76536
2023.0,0.76191
2024.0,0.75962
